ID;Dept;Gender;Clin;Cert;Prate;Exper;Rank;Sal94;Sal95;;;;;;;
31;1;0;0;0;72;2;1;57838;62907;;;;;;;
32;1;0;0;1;87;12;2;90631;99079;;;;;;;
33;1;0;0;1;79;7;1;60930;66190;;;;;;;
34;1;0;0;0;81;14;2;87231;95385;;;;;;;F
35;1;0;0;0;74;8;2;68582;76987;;;;;;;
36;1;0;0;0;73;7;1;63280;68420;;;;;;;
37;1;0;0;0;79;16;3;106412;116959;;;;;;;
38;1;0;0;1;72;3;1;65337;70166;;;;;;;
39;1;0;1;1;64;16;3;143334;153524;;;;;;;
40;1;0;0;0;8;12;3;90771;102927;;;;;;;
41;1;0;0;0;81;8;2;81769;88896;;;;;;;
42;1;0;0;1;75;11;1;94103;102983;;;;;;;
43;1;0;0;1;76;10;1;102631;111125;;;;;;;
44;1;0;1;1;6;15;1;109164;120696;;;;;;;
45;1;0;0;0;71;9;1;63779;73033;;;;;;;
46;1;0;0;0;8;6;1;75362;81615;;;;;;;
47;1;0;1;1;46;13;2;124836;137791;;;;;;;
48;1;0;0;0;77;13;1;77012;84536;;;;;;;
49;1;0;0;1;73;6;1;67277;72721;;;;;;;
50;1;0;0;1;81;9;1;73448;80294;;;;;;;
71;2;0;1;1;53;10;2;94715;106608;;;;;;;
72;2;0;0;1;81;4;1;58634;62601;;;;;;;
73;2;0;0;1;79;14;3;119851;131050;;;;;;;
74;2;0;1;0;55;9;3;78650;88661;;;;;;;
75;2;0;0;0;69;8;2;57862;63728;;;;;;;
76;2;0;1;0;49;3;1;67113;74272;;;;;;;
77;2;0;1;0;53;12;3;81078;86221;;;;;;;
78;2;0;0;1;85;7;1;60403;68828;;;;;;;
79;2;0;0;1;76;12;2;90964;97303;;;;;;;
80;2;0;0;1;84;4;1;52945;57841;;;;;;;
81;2;0;0;0;74;5;1;56550;62323;;;;;;;
82;2;0;0;0;72;2;1;34514;38675;;;;;;;
83;2;0;0;0;8;8;2;56177;61652;;;;;;;
84;2;0;1;0;5;2;1;50588;57431;;;;;;;
85;2;0;0;1;77;5;1;60415;66323;;;;;;;
86;2;0;1;0;61;11;3;91409;102511;;;;;;;
87;2;0;0;1;78;3;1;56250;59530;;;;;;;
88;2;0;1;1;57;16;2;127725;143348;;;;;;;
89;2;0;1;0;54;5;1;63426;71068;;;;;;;
90;2;0;0;0;8;5;1;45826;48138;;;;;;;
101;3;0;1;0;39;9;3;142382;151698;;;;;;;
102;3;0;0;0;73;9;1;67581;72896;;;;;;;
103;3;0;0;0;68;6;1;67934;75659;;;;;;;
104;3;0;1;0;5;10;3;118101;129862;;;;;;;
105;3;0;1;1;52;9;2;127710;143799;;;;;;;
106;3;0;0;0;65;5;1;70794;77113;;;;;;;
107;3;0;1;0;57;4;1;81728;91764;;;;;;;
108;3;0;0;0;7;7;1;71015;80747;;;;;;;
109;3;0;0;1;73;11;2;117276;126139;;;;;;;
110;3;0;0;0;72;10;2;106535;117574;;;;;;;
111;3;0;0;0;84;5;1;68825;74209;;;;;;;
122;4;0;1;1;42;4;1;77087;84890;;;;;;;
123;4;0;0;1;55;6;1;113382;124153;;;;;;;
124;4;0;1;1;27;4;1;102177;112844;;;;;;;
125;4;0;1;1;31;2;2;116506;127815;;;;;;;
126;4;0;1;1;31;5;1;130386;145073;;;;;;;
127;4;0;1;1;36;16;3;159687;177706;;;;;;;
128;4;0;1;1;34;2;1;107750;117214;;;;;;;
129;4;0;0;1;53;4;1;91211;103513;;;;;;;
130;4;0;1;1;3;6;2;135216;150489;;;;;;;
131;4;0;1;1;32;10;2;164048;182049;;;;;;;
132;4;0;1;1;38;5;1;84390;92512;;;;;;;
133;4;0;1;1;31;14;3;170428;186726;;;;;;;
134;4;0;1;1;26;5;1;124994;140026;;;;;;;
135;4;0;0;1;57;13;1;90130;95908;;;;;;;
136;4;0;0;1;63;5;1;102021;109758;;;;;;;
137;4;0;1;0;4;4;2;88484;99505;;;;;;;
138;4;0;1;1;3;7;1;110975;123139;;;;;;;
139;4;0;0;1;55;3;1;81422;89202;;;;;;;
140;4;0;1;1;31;10;1;130939;142566;;;;;;;
141;4;0;1;1;37;1;1;111630;125268;;;;;;;
192;5;0;1;0;42;3;1;138635;149539;;;;;;;
193;5;0;1;1;41;5;1;176028;192799;;;;;;;
194;5;0;1;1;39;2;1;126343;136988;;;;;;;
195;5;0;1;1;36;14;3;249687;267554;;;;;;;
196;5;0;1;1;38;5;1;127525;139017;;;;;;;
197;5;0;1;1;31;13;3;281058;313400;;;;;;;
198;5;0;1;1;36;4;1;149631;165420;;;;;;;
199;5;0;1;1;38;4;1;142249;154386;;;;;;;
200;5;0;1;1;47;7;1;166863;189852;;;;;;;
201;5;0;1;1;29;7;1;164080;180937;;;;;;;
202;5;0;1;0;29;1;1;112221;126149;;;;;;;
203;5;0;1;0;38;5;1;161352;177997;;;;;;;
204;5;0;1;1;28;7;1;209818;233774;;;;;;;
205;5;0;0;1;51;6;1;133097;147327;;;;;;;
206;5;0;1;1;37;5;1;171391;185895;;;;;;;
207;5;0;1;1;37;6;1;166482;180608;;;;;;;
208;5;0;1;1;4;12;1;242614;265856;;;;;;;
209;5;0;1;1;38;6;1;146396;161031;;;;;;;
210;5;0;1;1;38;6;1;130153;139887;;;;;;;
